model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.8049770278596008,0.43408076177860666,0.5640173434842015,22483,7502,1.0,1
cluster1-medoid0,0.7383237981390839,0.39409945890234477,0.5138944427925891,2293,587,1.0,1
cluster1-medoid1,0.9024508895893628,0.23658167423448595,0.3748854056581141,2009,1022,1.0,1
cluster1-medoid2,0.9402809467500614,0.18857910879829065,0.31415292282975915,1748,1148,1.0,1
cluster2-medoid0,0.7486072763027858,0.4157418346558509,0.5345945808823588,5493,1055,1.0,1
cluster2-medoid1,0.9131093192296629,0.24135638773132428,0.3817952591649005,3830,1591,1.0,1
cluster2-medoid2,0.947094371392367,0.194333024314575,0.32249394783449664,3332,1876,1.0,1
cluster3-medoid0,0.8941881223519283,0.37266886068014415,0.5260831700087398,376,340,1.0,1
cluster3-medoid1,0.8361241123661981,0.37183930175843927,0.5147569909655607,519,383,1.0,1
cluster3-medoid2,0.8517124655739647,0.36467256637168144,0.5106872618036112,733,255,1.0,1
cluster0-medoid0,0.8810938363285403,0.2517965726920951,0.3916643771385573,295,193,1.0,1
cluster0-medoid1,0.8797049702164225,0.3087988826815642,0.4571325725699044,520,420,1.0,1
cluster0-medoid2,0.945801429143142,0.2696569920844327,0.4196638305970402,686,339,1.0,1
cluster0-medoid3,0.9865699528117295,0.2880282594733462,0.4458817274623773,649,142,1.0,1
