model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.9998093704071057,0.16762361695966477,0.2871114055391212,22483,7502,1.0,1
cluster1-medoid0,0.9998447827881675,0.17816181963834055,0.3024332214955552,2293,587,1.0,1
cluster1-medoid1,0.9998185508432171,0.13875110785229006,0.24368457480187897,2009,1022,1.0,1
cluster1-medoid2,0.9998221150765298,0.11091634435741138,0.19968087549340702,1748,1148,1.0,1
cluster2-medoid0,0.9998455101683812,0.19508842861924303,0.32647543618797925,5493,1055,1.0,1
cluster2-medoid1,0.9998286794945233,0.15357943809377128,0.26625983369681216,3830,1591,1.0,1
cluster2-medoid2,0.9998435339568715,0.14193258029338174,0.24857828236727053,3332,1876,1.0,1
cluster3-medoid0,0.9998253489126007,0.09417933501341358,0.17214347959137444,376,340,1.0,1
cluster3-medoid1,0.9998358410262946,0.1604569648189017,0.2765347222012121,519,383,1.0,1
cluster3-medoid2,0.9998363014079018,0.19348947068476596,0.3242329986581503,733,255,1.0,1
cluster0-medoid0,0.9998492761158434,0.14509057901039046,0.2534084384350008,295,193,1.0,1
cluster0-medoid1,0.9998671569980211,0.1273233967411772,0.22588280623293316,520,420,1.0,1
cluster0-medoid2,0.9998587859641551,0.1482462295617737,0.25820860131945134,686,339,1.0,1
cluster0-medoid3,0.9998275401680471,0.2625371243652931,0.4158732490408852,649,142,1.0,1
