model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.9103785741846622,0.2411284494270166,0.38127109862727787,22483,7502,1.0,1
cluster1-medoid0,0.9902804733304293,0.18211794761378286,0.3076562440602689,2293,587,1.0,1
cluster1-medoid1,0.9996525982816961,0.15895664267850762,0.27429682976810177,2009,1022,1.0,1
cluster1-medoid2,0.9998786325151463,0.1273411126540217,0.22591097810188196,1748,1148,1.0,1
cluster2-medoid0,0.9929986053246478,0.21727219955533905,0.35653341428105356,5493,1055,1.0,1
cluster2-medoid1,0.98347073804326,0.17604864773907547,0.2986387216055877,3830,1591,1.0,1
cluster2-medoid2,0.9862030011901526,0.15702504531893968,0.27091457636720323,3332,1876,1.0,1
cluster3-medoid0,0.9998843705835323,0.10937098440704274,0.19717432494137735,376,340,1.0,1
cluster3-medoid1,0.998655897728518,0.16929722777537015,0.28951448700309823,519,383,1.0,1
cluster3-medoid2,0.9390346660987752,0.3011828644501279,0.45608313636467596,733,255,1.0,1
cluster0-medoid0,0.9640274098288685,0.1705154639175258,0.28977588211077987,295,193,1.0,1
cluster0-medoid1,0.9759515501270475,0.17109198974438655,0.2911441227838144,520,420,1.0,1
cluster0-medoid2,0.999686075353458,0.14844081050887936,0.25849792929193843,686,339,1.0,1
cluster0-medoid3,0.9865699528117295,0.2880282594733462,0.4458817274623773,649,142,1.0,1
