,model_clstr,fitness,precision
0,cluster6-medoid0,1.0,1.0
1,cluster6-medoid1,0.9999839727465585,0.7160359674442587
2,cluster6-medoid2,0.9999883929935943,0.4799154334038055
3,cluster6-medoid3,0.9999938475173537,0.8167863332508046
4,cluster4-medoid0,0.9999565861881563,0.843034369842673
5,cluster4-medoid1,0.9999858310019631,0.8432835820895522
6,cluster4-medoid2,1.0,1.0
7,cluster4-medoid3,0.9999921044904468,0.9940764674205708
8,cluster0-medoid0,0.9999980769521339,1.0
9,cluster0-medoid1,0.9999603194320227,0.7385946512847404
10,cluster1-medoid0,0.9999884307415405,0.8047534865448831
11,cluster1-medoid1,0.9999861021608347,0.7137024594786787
12,cluster1-medoid2,0.9999852805480808,0.9766146993318485
13,cluster2-medoid0,0.9999671432795864,1.0
14,cluster2-medoid1,0.9999596787656598,0.8891988840175369
15,cluster2-medoid2,0.9999472308386633,0.7197410549440277
16,cluster2-medoid3,0.9999880393563997,0.9765625
17,cluster3-medoid0,0.9999854230817815,0.8748134328358209
18,cluster3-medoid1,0.999995890433477,0.9111111111111111
19,cluster3-medoid2,0.9999312512890384,0.631578947368421
20,cluster5-medoid0,0.999968746328975,0.8769700551615445
21,cluster5-medoid1,0.9999508777962376,0.6422764227642277
22,cluster5-medoid2,0.9999876625539682,0.7837837837837838
