CASE_ID,cluster
Application_652823628,1
Application_1691306052,1
Application_428409768,1
Application_828200680,1
Application_1085880569,0
Application_1878239836,1
Application_619403287,0
Application_1710223761,0
Application_1529124572,0
Application_387012864,0
Application_1120819670,0
Application_42838382,1
Application_1966208034,2
Application_1806387393,0
Application_1111870538,0
Application_1017492916,0
Application_2082119944,1
Application_758985626,1
Application_1018615109,1
Application_319587802,0
Application_1846626914,0
Application_546206358,1
Application_196483749,0
Application_1363980603,0
Application_1553362978,0
Application_1197857445,0
Application_931862671,0
Application_2012588584,0
Application_1059184025,0
Application_1395142997,1
Application_2015287405,0
Application_1193723578,1
Application_493034835,0
Application_842511489,1
Application_1397856354,0
Application_2035768049,1
Application_1307111345,1
Application_821425679,0
Application_1294530310,0
Application_470922426,2
Application_1461440233,0
Application_857715587,2
Application_351152063,0
Application_2055987002,0
Application_1118236712,1
Application_1234535641,0
Application_1898882436,0
Application_2110144842,1
Application_587387633,1
Application_901793095,0
Application_340403559,0
Application_1825104006,0
Application_593655901,0
Application_1767756144,0
Application_446334558,0
Application_130460765,1
Application_1300843234,0
Application_1588619628,1
Application_505474597,0
Application_1765204099,0
Application_1624825294,0
Application_987262285,0
Application_1845547664,0
Application_1947648225,1
Application_1130101747,0
Application_798605556,1
Application_2062932311,0
Application_430902047,0
Application_1370588808,1
Application_909491524,1
Application_396349881,1
Application_930742634,1
Application_2068443797,0
Application_354702724,0
Application_1357431492,0
Application_283012951,1
Application_268676496,0
Application_1723779444,0
Application_1754646859,1
Application_2002564265,0
Application_58755651,2
Application_774787486,1
Application_2105878744,0
Application_1446096185,0
Application_952532843,0
Application_914660918,1
Application_167944225,0
Application_1962860870,0
Application_1696031128,1
Application_1886382319,0
Application_1250134245,0
Application_1044610848,2
Application_854524772,0
Application_927205634,0
Application_484278024,0
Application_1674281629,1
Application_299986859,1
Application_1252717204,1
Application_24648067,1
Application_1823402778,1
Application_895241174,1
Application_1290239114,0
Application_1787371920,1
Application_1471099537,0
Application_37839400,1
Application_1128910355,0
Application_54405635,0
Application_395903076,1
Application_1101997724,0
Application_74505494,1
Application_525275343,2
Application_106973225,1
Application_1315608886,1
Application_1538441067,1
Application_822724921,1
Application_2040511284,0
Application_1754943309,1
Application_323012882,0
Application_347136910,0
Application_1432907447,0
Application_1096831814,0
Application_1068218912,0
Application_709929024,0
Application_347787380,1
Application_1365381023,0
Application_1981969728,2
Application_665878125,1
Application_1044911465,1
Application_862160604,1
Application_60181210,1
Application_369018038,0
Application_920048730,2
Application_220402598,1
Application_1947668470,1
Application_1301925609,1
Application_2070389081,1
Application_864903752,0
Application_1159653941,0
Application_663648942,1
Application_1616009132,0
Application_53530491,0
Application_1953406738,0
Application_1413308979,0
Application_1308403282,1
Application_212010049,1
Application_369105792,0
Application_1998350808,1
Application_1301009504,1
Application_547462088,1
Application_223366470,0
Application_1130151790,1
Application_1791187926,0
Application_421364849,1
Application_1268592022,1
Application_1955353500,1
Application_485131054,0
Application_1979402314,0
Application_1723028098,1
Application_1946236735,0
Application_1428307326,1
Application_1310063638,0
Application_1141114991,1
Application_1016816804,0
Application_1854801140,0
Application_2078020265,0
Application_567907480,1
Application_748088065,1
Application_256650628,1
Application_1151254747,0
Application_972938507,1
Application_19324985,0
Application_1643165806,1
Application_418070482,1
Application_923963777,0
Application_1746133767,1
Application_920497952,2
Application_416441220,0
Application_726777197,0
Application_153538723,0
Application_368205428,1
Application_923808413,1
Application_854409161,0
Application_346636726,0
Application_236257423,0
Application_1892186837,0
Application_788421650,0
Application_1447851462,1
Application_664267418,0
Application_2118101879,0
Application_1259601023,0
Application_29490720,1
Application_193978070,1
Application_1267839101,0
Application_1101248362,0
Application_1800870760,2
Application_1484851617,0
Application_402039661,2
Application_1675166178,0
Application_297421946,0
Application_920229339,1
Application_562322973,1
Application_1645236489,1
Application_2059945768,1
Application_2115613475,1
Application_409724822,2
Application_788960916,2
Application_1807951250,1
Application_944177310,0
Application_1277100580,0
Application_1943199357,2
Application_1462709587,0
Application_1911804233,1
Application_1274070913,0
Application_503966930,2
Application_1362293013,1
Application_866541745,0
Application_948906324,0
Application_1172125329,0
Application_1931792282,0
Application_275338795,0
Application_243636886,0
Application_1838732360,0
