model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.9997047184236724,0.20799096106862824,0.3443409605591913,9146,6540,1.0,1
cluster0-medoid0,0.999864717111045,0.1455269607843137,0.2540742634764129,247,200,1.0,1
cluster0-medoid1,0.9998295311564833,0.1589363614272875,0.27427329151919133,701,501,1.0,1
cluster0-medoid2,0.9997752726174332,0.20543901960234445,0.3408403852411959,1854,1286,1.0,1
cluster0-medoid3,0.999789094546983,0.16258431740523693,0.2796864171438959,1397,1081,1.0,1
cluster0-medoid4,0.9997762761932595,0.18404841898821678,0.3108690733083389,1700,1074,1.0,1
cluster1-medoid0,0.9997879845718192,0.10068600275639938,0.18294781508613658,200,167,1.0,1
cluster1-medoid1,0.9996992801789246,0.16059147180192568,0.27672922237668374,209,158,1.0,1
cluster1-medoid2,0.999771969801313,0.16658673863096352,0.28558753086812544,1195,924,1.0,1
cluster1-medoid3,0.9997890006572085,0.1252387795140084,0.22259424419685528,846,705,1.0,1
cluster2-medoid0,0.999822368883196,0.3632075471698113,0.5328467496284264,89,48,1.0,1
cluster2-medoid1,0.9998019137364252,0.12118633766865194,0.2161705658698183,37,36,1.0,1
cluster2-medoid2,0.9997567886982227,0.1990093726026484,0.3319429221428212,292,199,1.0,1
cluster2-medoid3,0.999775688464579,0.12157425551293022,0.2167868927230201,127,117,1.0,1
cluster2-medoid4,0.9997868043581821,0.10289855072463772,0.18659287117193474,252,194,1.0,1
