CASE_ID,cluster
173691,0
173697,1
173700,0
173703,1
173706,1
173709,0
173712,1
173715,2
173721,0
173724,1
173727,0
173733,0
173742,0
173745,0
173748,0
173751,0
173754,1
173757,1
173760,1
173763,0
173766,0
173769,0
173772,0
173775,0
173778,0
173781,0
173787,0
173790,0
173793,0
173796,1
173799,0
173802,1
173805,0
173808,0
173814,1
173817,0
173820,0
173823,1
173826,0
173829,0
173832,0
173835,0
173838,0
173841,0
173844,1
173847,0
173850,0
173853,0
173856,0
173859,0
173862,0
173865,0
173868,0
173871,1
173874,0
173877,1
173883,0
173886,0
173889,0
173892,1
173895,0
173898,0
173901,0
173904,0
173907,0
173910,0
173913,0
173916,0
173919,0
173922,1
173925,0
173931,0
173934,1
173937,0
173946,0
173952,0
173958,0
173961,1
173964,2
173979,1
173982,0
173985,0
173988,0
173991,0
173994,0
173997,2
174000,1
174003,2
174006,0
174009,0
174012,0
174015,0
174018,1
174021,0
174024,0
174027,0
174033,1
174042,0
174048,0
174051,0
174054,2
174057,0
174063,0
174066,0
174072,0
174075,0
174078,0
174081,0
174084,0
174087,1
174090,1
174093,1
174099,1
174102,0
174105,0
174108,0
174111,0
174114,0
174117,0
174120,1
174123,0
174126,0
174129,0
174135,1
174138,0
174141,0
174144,1
174147,0
174150,1
174153,0
174156,0
174162,0
174165,0
174168,0
174171,1
174174,1
174177,0
174180,1
174183,0
174186,1
174189,0
174192,0
174195,0
174198,0
174201,0
174204,1
174207,2
174210,0
174213,0
174219,1
174222,0
174225,0
174228,1
174231,0
174234,1
174240,0
174243,0
174246,1
174249,1
174252,1
174255,1
174258,1
174261,0
174267,1
174273,0
174276,0
174279,0
174282,0
174285,2
174288,1
174291,1
174297,1
174300,1
174303,0
174319,0
174322,1
174328,0
174331,1
174334,0
174340,0
174346,1
174349,0
174352,0
174355,0
174361,1
174364,0
174367,1
174370,0
174373,0
174376,0
174379,0
174385,1
174388,0
174391,1
174394,0
174400,0
174403,1
174406,0
174412,1
174415,0
174421,1
174424,1
174427,1
174430,1
174433,0
