model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.9155931093587348,0.23597219151177762,0.37523623260468064,11683,2971,1.0,1
cluster0-medoid0,0.7723080694580012,0.34635749115794323,0.47823888525042924,5629,245,1.0,1
cluster0-medoid1,0.9272437580540984,0.24174947124785506,0.38351066988010957,330,323,1.0,1
cluster0-medoid2,0.9905840213856086,0.23352529377922837,0.37795059925008995,963,649,1.0,1
cluster0-medoid3,0.9992454179823932,0.20680456618282617,0.3426864854511974,693,572,1.0,1
cluster1-medoid0,0.9998482775768183,0.14512980195763958,0.2534682280929095,693,643,1.0,1
cluster1-medoid1,0.977793874392506,0.22362273079312667,0.3639985254085258,627,506,1.0,1
cluster1-medoid2,0.8415750940567113,0.3712589117167311,0.5152267368165542,1896,194,1.0,1
cluster2-medoid0,0.9990168687128334,0.21693206369528684,0.3564603499705842,71,68,1.0,1
cluster2-medoid1,0.9841815229219556,0.15632589110849981,0.2697975509682864,96,94,1.0,1
cluster2-medoid2,0.8409961165518538,0.39349558475123847,0.5361368704330285,560,102,1.0,1
cluster2-medoid3,0.9770527335247478,0.28413773835300693,0.44024683050769836,125,116,1.0,1
