model_clstr,fitness,precision,f1_score,num_traces,num_variants,perc_variants,coverage
complete,0.9642944750891156,0.8697843883190355,0.91460437924273,145802,227,1.0,1
cluster0-medoid0,0.9997546278214345,0.6932304277280299,0.8187435866559322,82113,52,1.0,1
cluster0-medoid1,0.9997557530331831,0.4039710521432548,0.5754287542985592,334,46,1.0,1
cluster0-medoid2,0.9877630334719496,0.75103102595013,0.8532818253020894,1559,40,1.0,1
cluster0-medoid3,0.9204309305030036,0.3201849836779108,0.4750997614831051,273,39,1.0,1
cluster3-medoid0,0.9958874410788611,0.459626293258824,0.6289683734992442,23496,40,1.0,1
cluster3-medoid1,0.9914895893621688,0.4987945692171044,0.663698422562062,201,37,1.0,1
cluster3-medoid2,0.9999403145321265,0.575647116644823,0.7306643192086885,7047,23,1.0,1
cluster3-medoid3,0.9999492671001499,0.9686507485147822,0.9840512022456789,26484,14,1.0,1
cluster2-medoid0,0.9519529120648313,0.7404305855842139,0.8329732038960459,2886,30,1.0,1
cluster2-medoid1,0.9979687725811835,0.5399605868184805,0.7007653515110758,416,15,1.0,1
cluster2-medoid2,0.9999354565991082,0.6456692913385826,0.7846691235617584,14,7,1.0,1
cluster2-medoid3,0.9991283350806551,0.4504765851636966,0.6209746038273035,68,21,1.0,1
cluster1-medoid0,0.99995000103844,0.8928571428571429,0.9433739763784734,9,7,1.0,1
cluster1-medoid1,0.9851195899350385,0.8636363636363636,0.9203865970031437,6,6,1.0,1
cluster1-medoid2,0.9312775619251636,0.6944444444444444,0.7956102292776185,887,22,1.0,1
cluster1-medoid3,0.9815884452171737,0.9145299145299145,0.9468733766469634,9,7,1.0,1
