CASE_ID,cluster
652823628,1
1691306052,2
428409768,1
828200680,1
1085880569,2
1878239836,1
619403287,2
1710223761,2
1529124572,2
387012864,2
1120819670,2
42838382,1
1966208034,3
1806387393,2
1111870538,2
1017492916,2
2082119944,2
758985626,1
1018615109,1
1846626914,2
546206358,2
196483749,2
1363980603,2
1553362978,2
1197857445,2
931862671,2
1059184025,2
1395142997,2
2015287405,2
493034835,2
842511489,2
1397856354,0
2035768049,1
1307111345,1
821425679,2
1294530310,2
470922426,3
1461440233,2
857715587,3
351152063,2
2055987002,2
1118236712,2
1234535641,2
1898882436,2
2110144842,2
587387633,1
901793095,2
340403559,2
1825104006,2
593655901,2
1767756144,2
446334558,2
130460765,1
1300843234,2
1588619628,1
505474597,2
1765204099,2
987262285,2
1947648225,1
798605556,1
2062932311,2
430902047,2
1370588808,1
909491524,2
396349881,2
930742634,2
2068443797,2
354702724,2
1357431492,2
1723779444,2
1754646859,2
2002564265,2
58755651,3
774787486,2
2105878744,2
952532843,2
914660918,1
167944225,2
1962860870,2
1696031128,2
1886382319,2
1250134245,2
1044610848,3
854524772,0
927205634,0
1674281629,1
299986859,1
1252717204,1
24648067,2
1823402778,2
895241174,1
1290239114,2
1787371920,1
1471099537,2
37839400,1
1128910355,2
54405635,2
395903076,2
1101997724,2
74505494,1
525275343,3
106973225,1
1315608886,1
1538441067,2
2040511284,2
1754943309,2
323012882,2
347136910,2
1432907447,0
1096831814,2
1068218912,2
709929024,2
347787380,1
1365381023,2
1981969728,3
665878125,1
1044911465,1
862160604,1
369018038,0
920048730,3
220402598,2
1947668470,1
1301925609,1
2070389081,1
864903752,2
1159653941,0
663648942,1
1616009132,0
53530491,0
1953406738,2
1413308979,2
1308403282,1
212010049,1
369105792,2
1998350808,1
1301009504,1
547462088,1
223366470,2
1130151790,1
1791187926,2
421364849,1
1268592022,2
1955353500,1
485131054,0
1979402314,2
1723028098,1
1946236735,2
1428307326,1
1310063638,2
1141114991,2
1854801140,2
2078020265,2
567907480,1
748088065,1
1151254747,2
972938507,1
19324985,2
1643165806,2
923963777,2
1746133767,1
920497952,3
416441220,2
726777197,2
153538723,2
368205428,1
