CASE_ID,cluster
A1,0
A100,0
A10000,0
A10001,0
A10004,0
A10005,0
A10007,0
A10008,0
A10009,3
A1001,3
A10010,0
A10011,0
A10012,0
A10015,0
A10018,3
A10019,0
A1002,3
A10021,0
A10022,3
A10023,0
A10024,0
A10025,0
A10026,0
A10029,0
A10030,3
A10033,0
A10034,0
A10041,0
A10042,0
A10043,0
A10044,0
A10045,0
A10046,0
A10047,0
A10049,0
A10050,3
A10054,0
A10056,0
A10059,0
A1006,3
A10060,0
A10061,0
A10063,0
A10067,0
A10068,0
A10069,0
A1007,3
A10071,0
A10072,0
A10074,0
A10075,0
A10076,0
A10077,0
A10078,0
A10079,0
A1008,3
A10082,0
A10083,0
A10085,0
A10089,0
A1009,3
A10090,0
A10091,0
A10092,3
A10095,0
A10097,0
A10099,0
A101,3
A10101,0
A10102,0
A10104,0
A10106,0
A10107,0
A10108,0
A10109,0
A10112,0
A10113,0
A10115,0
A10117,0
A10118,0
A10119,0
A10120,0
A10121,0
A10122,0
A10124,0
A10125,0
A10126,0
A10127,0
A1013,3
A10130,0
A10131,0
A10137,0
A10138,0
A10139,0
A1014,3
A10140,0
A10141,2
A10143,0
A10144,3
A10147,0
A10150,0
A10151,0
A10152,0
A10153,0
A10154,0
A10156,0
A10157,0
A10158,0
A10159,0
A1016,3
A10161,0
A10162,0
A10163,0
A10164,0
A10165,0
A10168,3
A1017,3
A10171,0
A10174,0
A10175,0
A10177,0
A10178,0
A10180,0
A10181,0
A10184,0
A10185,0
A10186,0
A10187,0
A10188,0
A10189,0
A10192,0
A10193,0
A10194,0
A10195,0
A10196,0
A102,0
A10203,0
A10205,0
A10206,0
A10211,0
A10212,0
A10213,0
A10215,0
A10216,0
A10218,0
A10220,0
A10221,0
A10223,0
A10224,0
A10226,0
A10228,0
A10229,0
A10230,0
A10231,0
A10234,0
A10235,0
A10236,0
A10237,0
A10238,0
A10242,0
A10243,0
A10245,0
A10247,0
A10249,0
A10250,0
A10251,0
A10253,0
A10254,0
A10262,0
A10263,0
A10264,0
A10265,0
A10266,0
A10267,0
A10268,0
A10269,0
A10271,0
A10273,0
A10277,0
A10280,0
A10281,0
A10282,0
A10283,0
A10284,0
A10285,0
A10286,0
A10287,0
A10288,0
A10289,0
A10290,0
A10291,0
A10292,0
A10295,0
A10296,0
A10299,3
A103,0
A10304,0
A10305,0
A10306,0
A10308,3
A10309,0
A10310,0
A10311,0
A10312,0
A10317,0
A10318,0
A10319,0
A10320,0
A10321,0
A10322,0
A10323,0
A10324,0
A10325,0
A10326,0
A10328,0
A10331,0
A10332,0
A10333,0
A10335,0
A10337,0
A10338,0
A10339,0
A10342,0
A10344,0
A10345,0
A10349,0
A10351,0
A10354,0
A10357,0
A10358,0
A10359,0
A10361,3
A10366,0
A10367,0
A10368,0
A10373,0
A10374,0
A10379,0
A10381,0
A10382,0
A10383,0
A10384,0
A10385,0
A10386,0
A10388,0
A10390,0
A10391,0
A10392,0
A10393,0
A10396,0
A10397,0
A10400,0
A10401,3
A10402,3
A10403,3
A10404,3
A10406,3
A10407,3
A10409,3
A1041,3
A10411,3
A10413,3
A10418,3
A1042,3
A10420,3
A10421,3
A10422,3
A10423,3
A10425,3
A10426,3
A10427,3
A10428,3
A10429,3
A1043,3
A10430,3
A10432,3
A10434,3
A10435,3
A10436,3
A10437,3
A10438,3
A1044,3
A10442,3
A10446,3
A10447,3
A10448,3
A10449,3
A1045,3
A10450,3
A10452,0
A10456,0
A10457,0
A10458,0
A1046,3
A10461,0
A10462,0
A10463,0
A10465,0
A10466,0
A10467,0
A10468,0
A1047,3
A10472,0
A10473,0
A10474,0
A10475,0
A10476,0
A10477,0
A10478,0
A10479,3
A1048,3
A10480,0
A10481,0
A10482,0
A10485,0
A10486,0
A10487,0
A10488,0
A10489,0
A10490,0
A10492,0
A10495,0
A10497,0
A10498,0
A10499,0
A105,3
A10500,0
A10501,3
A10502,0
A10503,0
A10505,0
A10506,3
A10508,0
A10509,0
A10512,0
A10513,0
A10514,0
A10515,0
A10517,0
A10519,0
A10521,0
A10522,0
A10524,0
A10526,0
A10527,0
A10528,0
A10531,0
A10532,0
A10533,0
A10535,0
A10536,0
A10539,0
A10543,0
A10544,0
A10545,0
A10546,0
A10547,0
A10549,0
A1055,0
A10550,0
A10552,3
A10553,3
A10554,3
A10555,3
A10556,3
A10558,3
A10559,3
A10560,3
A10561,3
A10563,3
A10564,3
A10565,3
A10566,3
A10569,3
A1057,0
A10570,3
A10571,3
A10572,3
A10574,3
A10577,3
A10579,3
A10581,3
A10584,3
A10585,3
A10586,3
A10588,3
A10589,3
A1059,0
A10594,3
A10595,3
A10596,3
A10597,3
A1060,0
A10604,0
A10605,0
A10607,0
A10608,0
A10614,0
A10615,0
A10618,0
A10619,0
A10620,0
A10621,0
A10623,0
A10624,0
A10625,0
A10626,0
A10627,0
A10628,0
A10631,0
A10634,0
A10636,3
A10639,0
A10640,0
A10641,0
A10646,0
A10648,0
A10649,0
A1065,0
A10651,3
A10655,3
A10656,3
A10657,3
A10658,3
A10659,3
A1066,0
A10660,3
A10661,3
A10663,3
A10664,3
A10665,3
A10667,3
A10669,3
A1067,3
A10670,3
A10671,3
A10672,3
A10673,3
A10674,3
A10675,3
A10679,3
A10680,3
A10681,3
A10683,3
A10685,3
A10686,3
A10688,3
A10689,3
A1069,0
A10690,3
A10692,3
A10693,3
A10694,3
A10695,3
A10697,3
A10699,3
A1070,0
A10700,3
A10701,0
A10702,0
A10704,0
A10709,0
A1071,0
A10712,0
A10714,0
A10715,0
A10716,0
A10718,0
A10719,0
A1072,0
A10720,0
A10721,0
A10725,0
A10728,0
A10729,0
A10733,0
A10734,0
A10736,0
A10737,0
A10738,0
A10739,0
A1074,0
A10740,0
A10741,0
A10742,0
A10744,0
A10745,0
A10747,0
A10750,0
A10751,0
A10752,0
A10753,0
A10755,3
A10757,0
A10758,0
A10759,0
A1076,0
A10761,0
A10762,0
A10764,0
A10769,0
A1077,0
A10771,0
A10774,0
A10776,0
A10777,0
A10779,0
A1078,0
A10781,0
A10783,0
A10785,0
A10786,0
A10788,0
A10789,0
A1079,0
A10790,0
A10791,0
A10792,0
A10794,0
A10797,0
A10798,3
A10799,0
A108,3
A1080,0
A10802,0
A10803,0
A10804,0
A10805,0
A10806,0
A10809,0
A1081,0
A10810,3
A10811,3
A10813,0
A10814,0
A10816,0
A10817,0
A10818,0
A10819,0
A10820,0
A10821,0
A10825,0
A10826,0
A10829,0
A10832,0
A10833,0
A10835,0
A10836,0
A10838,0
A10839,0
A10840,0
A10844,0
A10845,0
A10846,0
A10847,0
A10850,0
A10851,0
A10852,0
A10853,0
A10855,0
A10856,0
A10858,0
A1086,0
A10863,3
A10867,3
A10868,0
A10869,0
A10871,0
A10872,0
A10873,0
A10874,0
A10875,0
A10877,0
A10878,0
A10881,0
A10882,0
A10883,0
A10884,0
A10887,0
A1089,0
A10890,0
A10894,0
A10896,0
A10898,0
A10902,0
A10904,0
A10908,0
A10912,0
A10914,0
A10915,0
A1092,0
A10921,0
A10922,0
A10923,0
A10924,0
A10925,0
A10927,0
A10928,0
A10929,0
A1093,0
A10931,0
A10934,0
A10937,0
A10938,0
A10939,0
A1094,0
A10940,0
A10941,0
A10942,0
A10943,0
A10944,0
A10946,0
A10947,0
A10948,0
A10949,0
A1095,0
A10950,0
A10951,0
A10954,0
A10956,0
A10958,0
A1096,0
A10961,0
A10963,0
A10964,3
A10965,0
A10966,0
A10967,0
A1097,0
A10971,0
A10972,0
A10975,0
A10976,0
A10977,0
A10978,0
A1098,0
A10980,0
A10981,0
A10985,0
A10986,0
A10987,0
A10988,0
A10989,0
A10992,0
A10994,0
A10995,0
A10996,0
A10998,0
A10999,0
A11,0
A11001,0
A11002,0
A11003,0
A11005,0
A11006,0
A11007,0
A11008,0
A1101,0
A11010,3
A11011,0
A11012,0
A11013,0
A11014,0
A11015,0
A11016,0
A11017,0
A11023,0
A11024,0
A11026,0
A11028,0
A11029,0
A11030,0
A11031,0
A11032,0
A11037,0
A1104,3
A11042,3
A11043,0
A11046,0
A11048,0
A1105,0
A11051,3
A11052,0
A11053,0
A11056,0
A11057,0
A11058,0
A11060,0
A11062,0
A11064,0
A11065,0
A11066,0
A11067,0
A11069,0
A11070,0
A11071,0
A11072,0
A11074,0
A11075,0
A11076,0
A11078,0
A11079,0
A1108,0
A11081,0
A11082,0
A11083,0
A11084,0
A11085,0
A11086,0
A1109,0
A11091,0
A11094,3
A11096,3
A11097,0
A11098,0
A1110,0
A11100,3
A11102,0
A11104,0
A11106,0
A11107,0
A11108,0
A11109,0
A1111,0
A11110,0
A11111,0
A11112,0
A11113,0
A11117,0
A11119,0
A1112,0
A11122,3
A11124,0
A11126,0
A11128,0
A11130,0
A11132,0
A11134,0
A11136,0
A11139,0
A1114,0
A11140,0
A11141,0
A11142,0
A11143,0
A11145,0
A11146,0
A11147,0
A11148,0
A11149,0
A11150,0
A11151,3
A11152,0
A11153,0
A11154,0
A11155,0
A11157,0
A11159,0
A1116,0
A11162,0
A11163,0
A11168,3
A11169,3
A1117,0
A11172,0
A11174,0
A11177,0
A11178,0
A11179,0
A11182,0
A11183,0
A11184,0
A11185,3
A11187,0
A1119,0
A11192,0
A11194,3
A11195,0
A11196,0
A11197,0
A11198,0
A11199,0
A1120,0
A11201,0
A11202,0
A11205,3
A11206,0
A11207,0
A11208,0
A11209,0
A1121,0
A11210,3
A11211,3
A11217,0
A11218,0
A11219,0
A11220,0
A11222,0
A11223,0
A11224,0
A11225,0
A11228,0
A11230,0
A11231,0
A11232,0
A11234,0
A11235,0
A11239,0
A11240,3
A11241,0
A11242,0
A11243,0
A11244,0
A11245,0
A11246,0
A11247,0
A1125,0
A11250,0
A11252,0
A11253,0
A11254,0
A11257,0
A11258,0
A1126,0
A11260,0
A11262,0
A11264,0
A11268,0
A11269,0
A1127,0
A11270,0
A11271,0
A11273,0
A11278,0
A1128,0
A11280,0
A11281,0
A11283,0
A11284,0
A11285,0
A11286,0
A11288,0
A11289,0
A11291,0
A11293,0
A11295,0
A11296,0
A11297,0
A11300,0
A11302,0
A11303,0
A11304,0
A11306,0
A11308,0
A11309,3
A1131,0
A11312,0
A11314,0
A11317,0
A11319,3
A1132,0
A11320,0
A11322,2
A11323,0
A11324,0
A11325,0
A11326,0
A1133,0
A11332,0
A11333,0
A11336,0
A11339,0
A1134,0
A11342,0
A11343,0
A11345,0
A11347,0
A11348,0
A11349,0
A11350,0
A11351,0
A11353,0
A11355,0
A11356,0
A11357,0
A11358,0
A11360,0
A11361,0
A11365,0
A11367,0
A11368,0
A1137,0
A11371,0
A11372,0
A11375,0
A11377,0
A11378,0
A11379,0
A11381,0
A11382,0
A11383,0
A11385,0
A11386,0
A11387,0
A11388,0
A11389,0
A1139,0
A11390,0
A11392,0
A11393,0
A11394,0
A11395,0
A11396,0
A11397,0
A11399,0
A11401,0
A11406,0
A11407,0
A11409,0
A11410,0
A11411,0
A11412,0
A11413,0
A11414,0
A11418,0
A11419,0
A11421,0
A11422,0
A11423,0
A11427,0
A11428,0
A1143,0
A11432,0
A11433,0
A11434,0
A11435,0
A11437,0
A11440,0
A11443,0
A11444,0
A11445,0
A11446,0
A11447,0
A11448,0
A11449,0
A11450,0
A11451,0
A11453,0
A11454,0
A11455,0
A11457,0
A11461,0
A11462,0
A11463,0
A11464,0
A11465,0
A11466,0
A11467,0
A11468,0
A11469,3
A1147,0
A11470,0
A11471,0
A11472,0
A11473,0
A11475,0
A11477,0
A11479,0
A1148,3
A11480,0
A11482,0
A11483,0
A11484,0
A11485,0
A11487,0
A11488,0
A11490,0
A11491,0
A11493,0
A11494,0
A11496,0
A11498,0
A115,0
A1150,0
A11500,0
A11503,0
A11506,0
A11507,0
A11509,0
A11510,0
A11511,0
A11516,0
A11517,0
A11518,0
A1152,0
A11521,0
A11523,0
A11524,0
A11525,0
A11528,0
A11529,0
A11531,0
A11532,0
A11534,0
A11535,0
A11536,0
A11537,0
A11538,0
A1154,0
A11540,0
A11541,0
A11542,0
A11547,0
A11548,0
A1155,0
A11551,0
A11552,0
A11554,0
A11556,0
A11557,0
A11558,0
A11559,0
A1156,0
A11560,0
A11562,0
A11563,0
A11565,0
A11567,0
A1157,0
A11570,0
A11571,0
A11572,0
A11573,0
A11574,0
A11576,0
A11577,0
A1158,0
A11581,0
A11582,0
A11584,0
A11587,0
A11588,0
A11589,0
A1159,0
A11590,0
A11592,0
A11593,0
A11598,0
A11599,0
A11601,0
A11602,0
A11605,3
A11606,0
A11608,0
A1161,3
A11611,0
A11612,0
A11613,0
A11614,0
A11616,0
A11617,3
A11618,0
A11619,0
A11620,0
A11621,0
A11622,0
A11623,3
A11624,3
A11626,0
A11627,0
A11628,0
A11629,0
A1163,0
A11631,0
A11632,0
A11633,0
A11634,0
A11635,0
A11636,0
A11637,0
A1164,0
A11642,3
A11643,0
A11644,0
A11645,0
A11646,0
A11647,0
A11648,0
A1165,0
A11654,0
A11656,0
A11657,0
A11658,0
A11659,0
A11660,0
A11661,0
A11663,0
A11664,0
A11665,0
A11667,0
A11668,0
A1167,0
A11672,0
A11673,0
A11676,0
A11678,0
A11680,0
A11681,0
A11683,0
A11684,0
A11685,0
A11687,0
A1169,0
A11691,0
A11693,0
A11696,0
A11697,0
A11699,0
